Tokyo,,,My Room,,
15.5875,11.8,23.4,22.76097222,22,24.2
14.84583333,13.3,16.8,22.38708333,21.6,23.7
13.65833333,10.6,17.8,22.55305556,22,23.9
13.40833333,9.5,19.2,22.94513889,22.4,24.1
12.77826087,11,15.9,23.17847222,22.2,24.1
15.53333333,11.6,19.6,23.05055556,22.2,24
17.29166667,13.9,21.7,23.49222222,22.3,24.5
13.54166667,11,16.6,23.06694444,22.3,24.4
11.92083333,9.2,16.2,23.01027778,22.3,24.3
11.8875,8.3,16.3,23.16972222,22.4,24.6
10.15,6.5,12.8,22.65736111,21.8,24.4
13.71666667,9.8,18.5,22.39222222,21.6,23.4
14.65,10.4,20,22.46916667,21.6,23.6
13.4375,8.1,18.5,22.70152778,21.5,23.9
14.74583333,9.5,21.3,23.26611111,22.4,24.3
15.24166667,11.7,20.2,22.46805556,21.5,24.3
15.7875,10.8,21.1,22.02138889,21.3,23.3
19.07916667,13.4,23.9,21.64125,20.7,23.2
21.87083333,18.7,23.6,21.74097222,21.1,22.8
16.6,11.6,19.3,22.87944444,21.8,23.9
15.04583333,8.8,19.1,22.89763889,21.9,23.9
15.54583333,12.4,20,21.55041667,20.6,23.4
11.825,10.1,12.5,20.82861111,20,22.3
10.47083333,9.3,11.8,20.43666667,19.5,22.2
12.81666667,9.4,18.3,20.46847222,19.7,23.2
11.6375,10.5,12.7,21.97916667,20.4,23.8
11.8125,9,16.4,22.22902778,21,24
10.12083333,8.2,12.4,22.44055556,20.8,24.2
9.9,5.7,14.5,22.18194444,21.4,23.9
10.225,5.6,14.7,22.38583333,21.7,24.1
8.2,7.2,9.7,22.79458333,22.3,24.4
8.05,6.7,10,23.63625,23.1,25.4
9.216666667,5.8,13.4,23.95527778,22.1,25.5
6.629166667,4.7,7.7,23.35013889,21.7,25
8.158333333,4.7,12.7,23.21861111,22.5,24.5
9.729166667,5.3,15.7,22.30916667,21.3,23.9
11.4,6.4,16.8,21.41388889,20.5,23
9.75,8.2,11.3,21.30027778,20.5,23
9.291666667,7.3,12.1,21.14763889,20.3,22.5
10.2,5.6,13.7,21.33986111,18.9,23.2
11.39583333,8.6,14.5,21.52111111,20.5,23.3
9.916666667,5.9,14.3,21.48069444,20,23.3
8.454166667,5.6,12.2,20.74625,19.5,25.2
6.0875,2.4,10.6,21.76902778,19.2,25.8
4.583333333,0.6,9.2,21.72680556,19.3,25.5
4.254166667,0.3,9,22.00972222,19.2,25.5
6.066666667,1,11,21.48625,19,25.5
5.8,2.1,9.1,22.28486111,19.2,25.1
4.4125,0.1,9,21.30625,19.5,22.8
5.325,0.4,10.5,20.38416667,19.1,24.2
5.554166667,1,11.1,20.87333333,19.3,24
7.745833333,1.3,13.6,19.89513889,19,22.4
8.0125,3,12.8,19.90458333,19.1,21.9
8.65,4.7,13.3,20.61736111,19.6,22
6.416666667,2.3,11,20.59902778,19.5,22.6
7.754166667,4,12.4,20.66722222,18.9,22.7
8.533333333,6.5,12.8,18.99055556,17.7,21.6
8.7375,4.7,12.6,18.24111111,17.2,20.6
6.8875,2.8,12,17.77694444,16.4,22.9
3.404166667,0.3,7.1,18.80722222,16.8,23
4.441666667,-0.6,10.1,21.20152778,16.9,25
4.804166667,0.2,10.2,21.05194444,15.4,24.5
3.7375,-0.1,8,23.13805556,22.6,23.8
5.758333333,1.6,10.9,19.87430556,17.4,23.5
6.0375,2.8,9.2,19.96986111,17.1,23.3
5.304166667,4.2,6.5,20.93847222,17.8,23.4
6.320833333,2.2,12.2,22.92458333,22.5,23.6
2.395833333,-1.5,6,22.70375,18.6,24.5
2.870833333,-1.1,8.1,20.74486111,19.2,23.5
2.5875,-1.9,7.8,21.20277778,17.8,23.7
2.308333333,-0.7,6.1,20.59486111,18.9,23.7
3.416666667,1.6,5.3,21.29805556,19.1,23.4
5.758333333,-0.4,11.9,23.01666667,22.4,23.5
7.9125,1.5,14.5,22.34430556,21.8,23
6.554166667,5.4,7.3,22.40486111,21.9,23.1
10.04583333,4.6,18.3,22.17583333,21.7,22.6
6.079166667,4.1,7.8,22.35986111,21.9,23.1
4.308333333,1.1,7.8,20.45722222,18.3,23
4.370833333,1.1,9,18.74152778,17.1,22.3
3.929166667,0.7,9.2,20.37763889,17.4,22.4
4.783333333,0,10.2,20.25569444,17.3,22.4
8.679166667,1.8,15.4,22.15277778,21.7,22.6
6.35,2.7,9.7,21.87805556,21.5,22.4
4.3375,2.3,6.4,21.52416667,16.7,22.4
7.570833333,3.9,12.7,20.30986111,17,22.4
7.525,3.1,11,20.51027778,17.4,22.2
10.275,6.4,15.8,20.14097222,17.8,22.1
4.433333333,1.3,7,21.72958333,20.4,22.6
5.3125,1,9.9,22.26680556,21.5,22.9
4.120833333,1.2,8.7,21.85652778,19.5,22.7
5.4,0.1,11.1,21.97527778,21.5,23
7.220833333,2.2,13.8,21.72055556,21.1,22.8
8.841666667,4.4,14.9,19.26305556,14.5,22.5
6.204166667,1.6,11.2,21.78680556,21.1,22.1
6.966666667,1.5,12.3,21.92319444,20.9,22.8
7.095833333,2.7,10.9,21.95041667,18.6,22.9
8.866666667,4.5,13.9,22.08736111,21.8,22.6
9.916666667,5.1,15.8,22.56069444,22.1,23.1
6.070833333,3.1,10.1,20.37847222,17.6,23
4.720833333,1.3,9.5,21.40611111,20.6,22.2
6.654166667,2,11.6,20.01444444,17.1,22.1
8.654166667,3.6,13.2,21.5025,20.7,22.2
7.829166667,3.9,11.3,22.01444444,20.8,23.1
10.3875,5.3,15.4,21.39180556,15.8,22.3
12.27916667,7,17.3,22.02861111,21.5,22.6
11.4125,8.8,13.4,20.50083333,17.8,22.7
10.6375,6.5,15.9,21.65986111,20.9,22.5
7.591666667,2.8,12.7,22.37833333,21.5,23.4
4.2875,-0.3,9,19.78291667,17.1,22.7
6.895833333,1.5,12,21.25208333,19,22.5
10.15416667,1.6,17.4,22.23319444,21.6,23
13.89166667,7.4,20.6,22.01944444,21.3,22.8
14.9,8.5,21.2,20.18388889,17.2,22.2
11.01666667,5.5,14.8,22.02652778,21.5,22.8
6.441666667,3.4,11.1,22.72763889,22.2,23.3
6.629166667,2,11.1,22.55097222,22.1,23.4
8.708333333,6.2,11.7,22.91208333,22.5,23.4
5.679166667,2.5,9.2,22.32055556,19.2,23.4
6.625,0.8,12.2,21.36569444,19.7,23.1
11.75833333,4.8,18.1,21.56777778,19.4,23.3
13.5125,7.9,19.3,22.47194444,22.2,23.2
7.425,4.1,10.9,21.66777778,21.3,22.6
8.9625,2.6,13.9,20.26194444,17.7,22.2
11.84166667,8.9,16.6,22.78611111,21.6,23.4
13.75833333,9.6,20.5,23.01680556,22.5,23.7
7.829166667,6.2,9.8,21.92180556,20,23.5
6.608333333,5.3,7.5,22.29902778,21,23.5
9.554166667,5.9,13.2,19.03694444,17.6,22
12.0375,7.1,19.3,22.96416667,21,23.7
9.920833333,4.7,14.6,20.90027778,18.4,23.5
12.74583333,8.1,17,21.84152778,21.5,22.5
11.12916667,8.4,13.8,21.86888889,20,22.7
12.5375,8.5,17.2,20.43805556,19.5,22.3
12.89583333,8.4,18.7,22.49458333,22.1,22.9
14.5375,7.8,21.3,22.45902778,22,23
13.6875,9,19.2,22.08152778,20.6,23.1
12.275,7.3,16.4,21.12222222,19.2,22.9
12.92083333,9.6,16.9,19.90763889,18.2,21.3
14.12916667,10.9,17.9,19.91486111,19.3,21.3
16.67916667,13.1,19.7,19.84013889,19.1,21.1
12.06666667,7.7,15,20.67819444,19.8,22.1
10.82916667,5.7,15,21.17861111,19.6,22.8
13.77916667,7,19.7,20.45944444,19.4,21.8
14.45,11.9,17.8,19.79902778,19,21.2
14.4625,10.5,20.6,19.85222222,19.1,21
13.69166667,8.8,17.4,20.07555556,19.4,21.4
16.5,14.9,18.2,20.31486111,19.4,22.4
17.54583333,13.3,22.1,20.8225,19.5,21.8
17.76666667,14.3,22.5,21.54472222,21.1,22.4
17.90833333,15.8,22.8,22.61347222,21.9,23.7
16.6,14.1,20.6,22.49736111,21.7,23.8
16.03333333,13.9,19.3,23.585,22.6,24.7
16.94166667,12.5,20.8,23.52583333,22.4,24.6
18.49166667,16.2,21.9,22.72375,22,23.9
12.92083333,8.6,17.2,23.57763889,22.5,24.6
10.55,7.1,14.5,23.49388889,22.3,24.6
13.32083333,8.6,19,21.87013889,21,23.3
13.30833333,9.9,16.9,20.98486111,20.4,22.4
11.85833333,7.5,16.1,21.53652778,20.5,22.6
10.3875,7.1,14.4,21.53458333,20.4,22.8
12.525,7.5,18,20.35055556,19.5,21.6
14.35416667,9.5,19.2,20.36305556,19.3,21.4
15.74583333,12.7,18.4,20.25444444,19.4,21.6
15.3,7.7,19.1,20.10291667,19.4,21.3
10.70416667,6.5,15.1,20.91527778,19.8,22.4
13.675,8.2,18,20.95236111,19.7,22.9
15.725,14.2,18.4,20.85583333,19.6,22.2
16.41666667,12.5,21.6,21.74388889,20.9,22.6
15.7875,11.6,20.4,21.57291667,20.8,22.8
17.21666667,10.9,24.1,21.84875,20.7,22.9
19.09583333,14.9,24.1,22.43652778,21.5,23.7
18.11666667,11.5,26,22.84847222,22.1,24.6
13.79166667,9.3,19.3,22.81611111,22,24.8
15.3125,9.1,20.2,22.80166667,21.8,24.5
16.92083333,12.3,22.3,23.82083333,22.5,25
13.425,9.3,18.7,23.35388889,21.8,25.2
14.60416667,8.7,18.7,22.76958333,21.6,24.5
18.2,11,23,22.20875,21.4,23.3
17.18333333,16.3,18.3,23.21888889,21.9,24.5
18.825,13.2,23.7,23.55305556,23,24.9
17.67083333,13.1,23.5,23.75305556,22.8,25
16.325,12.5,21.9,24.16680556,23.5,25
16.40416667,11.9,21.8,23.72611111,22.8,24.8
18.00833333,11.1,23.8,24.14652778,23.6,24.9
18.3125,14.8,21.2,24.78833333,23.9,25.8
18.5375,15.7,24,24.77527778,24,25.9
17.47083333,15.4,20.2,24.46222222,23.9,25.7
19.48333333,13.1,24.2,24.95625,24,26
22.99583333,18.9,27.9,24.91291667,23.1,26.6
20.21666667,16.2,24.3,23.49486111,23,24.4
17.525,15.3,18.9,24.47444444,23.8,24.9
17.925,15.6,20.5,24.65347222,24.2,26.1
16.11666667,14.6,17.7,24.57958333,23.8,26.1
20.825,16.3,25.8,24.44375,23.7,25.6
21.24166667,17.5,25.5,24.54291667,24,26
19.98333333,18.5,21.5,24.56458333,24,26
22.99583333,19.8,24.9,24.60944444,24,25.4
20.48333333,16.7,22.5,24.72541667,24.2,25.5
17.15416667,16.2,18.2,25.08611111,24.3,25.8
19.06666667,16.3,21.9,24.87888889,24.2,25.8
21.70833333,17,24.7,24.73236111,24.4,25.1
19.975,17.6,23.2,24.61472222,24.3,25.3
19.6125,15.2,24.9,24.9425,24.4,26.1
22.12083333,16.8,27.2,24.60513889,24.1,25.4
22.36666667,17.1,28.3,24.72083333,24.1,25.6
21.09583333,17.6,25.3,25.08944444,24.1,27.1
16.9125,15.5,19.9,24.77486111,24.1,26.8
20.52916667,15.1,25.1,24.88694444,24.5,25.9
22.77916667,18.4,27.9,24.63652778,24,26.3
21.2,17.8,25.3,24.90625,23.9,26.9
20.57916667,16.4,24.3,24.95402778,24.1,25.7
20.10416667,15.2,24.8,25.10736111,24.2,26
21.99583333,19.5,25.4,25.3625,24.3,26.5
22.10833333,18.4,26,25.43486111,24,26.5
20.975,19.6,23.9,25.43847222,24.1,26.3
22.13333333,19.6,25.7,25.43777778,24.3,27
21.72083333,19.7,23.5,24.48236111,24.2,24.9
23.35416667,19.9,29.2,24.27444444,23.6,24.6
24.7875,19.2,31,25.03569444,23.5,26.7
24.47083333,19.8,30.1,25.66375,24.5,27
24.07916667,19.1,29.6,26.09347222,24.9,27.6
23.69166667,20.8,28.1,26.39347222,25,27.7
23.29583333,19.7,25.9,25.92125,25.1,27.7
24.2875,21.5,27.4,25.21986111,24.7,26.5
21.00416667,19.2,23.3,26.00722222,24.8,27.1
23.35833333,18.9,28.4,26.45958333,25.3,28.9
22.2375,20.7,24.8,27.15361111,25.3,29.3
21.8,19,26.3,27.47611111,25.5,29.5
22.8375,18.9,26.7,27.27944444,25.3,29.5
20.27916667,19.4,22,25.55541667,24,29.5
22.79166667,19.6,27.4,23.30486111,22.8,24.1
22.8875,19.8,27,24.0275,22.6,27.9
23.11666667,19.5,28.3,25.86569444,25.1,28
22.0375,20.7,25.2,25.19513889,24.1,26.7
22.84583333,19.6,26.2,24.53083333,23.7,26.5
23.32916667,21,27,24.03166667,22.6,26.2
24.2,20.7,27.4,23.41847222,22.6,25.8
23.7125,21.7,26.2,24.15833333,23.8,24.5
24.37083333,20.3,28.3,24.67208333,24,26.4
21.87916667,18.8,27.3,24.02861111,22.5,26.3
20.57083333,18.6,22.5,24.23305556,23.2,26
20.8875,20.2,22,23.87291667,22.8,25.5
21.19166667,20.3,22,23.77097222,22.8,25.3
22.17083333,20.7,25.6,23.43416667,22.2,25.5
20.125,19.6,20.9,24.05458333,23.7,25.5
22.14583333,20,24.7,24.38694444,23.8,25.3
24.74583333,22.1,28.3,24.35208333,23,25.8
25.8125,23.1,29.6,24.43972222,22.8,26.5
23.65416667,22.3,24.4,25.45861111,24.8,26.5
23.50833333,22.3,24.6,25.73291667,25.1,26.7
26.97916667,22.9,32.8,24.45888889,23.4,26.5
24.70833333,21.2,30.8,25.24180556,23.6,27.3
25.775,21.2,30.9,25.61833333,24.9,27.3
25.475,23.6,27.7,25.92569444,24.8,27.3
25.2875,23,28,26.36319444,25.6,27.5
26.35,23.1,30.8,26.46736111,25.6,27.9
27.71666667,24.3,32.1,25.83083333,25,27.9
27.375,23.5,32.1,24.64027778,23.9,25.1
28.10416667,24.3,32.1,24.27805556,23.1,28.7
29.18333333,25.2,33.9,24.81888889,23.4,27.9
28.77083333,25.9,32.8,25.47944444,23.5,28.1
28.40833333,24.7,33.1,24.56736111,23.5,28.2
28.40416667,24.3,33.2,23.77375,23.1,25.2
28.35,25.1,32.9,24.74805556,23.8,26
28.52083333,25.3,33.8,25.78680556,25,29.7
28.45833333,25,33,25.48555556,25,26.3
27.52083333,25.5,31.1,26.055,25,28.5
24.925,21.6,29.3,26.45611111,25.4,28.5
27.6875,24.1,31.5,25.87569444,25.1,28
27.79583333,24.5,31.8,25.28486111,25,25.7
25.77083333,24,29.5,25.37722222,25,25.9
27.5,23.5,31.9,25.59847222,25.2,25.9
28.725,24.5,33.4,25.54180556,24.6,26.5
28.59583333,26,32.8,25.94680556,24.9,28.6
28.96666667,26.2,32.5,26.54833333,25.2,28.9
29.45,25.8,33.7,25.48444444,24,28.7
29.05,24.3,33.8,25.53166667,24,28.7
29.1125,24.7,33.6,25.38458333,23.7,28.6
27.92916667,26.4,30.7,24.76180556,23.9,28.7
25.9375,24.7,27.8,24.0275,23.4,24.6
28.14583333,25.7,30.4,24.20722222,23.2,25.9
30.975,27.6,36.7,24.65194444,23.3,26.6
29.2,26.5,32.7,25.31916667,24.6,26.2
26.04583333,24,29.2,25.87347222,25.1,27.9
22.49583333,20.9,25.3,26.26152778,25.6,28
22.34166667,20.1,25.4,26.06291667,24.9,27.4
19.34166667,18.4,20,25.54194444,25.2,25.9
20.675,19,21.7,24.98805556,24.4,26
23.65416667,20.8,26.4,25.12444444,23.3,26.2
27.02916667,24.6,30,24.83375,22.6,26.6
28.54166667,25.5,33.4,24.78583333,22.5,27.2
28.65416667,25.3,32.7,25.30916667,23.3,27.8
27.9375,25.2,31.2,25.64152778,25.2,27.8
28.45833333,25.7,32.7,25.34083333,25,25.9
26.85,23,29.8,25.67791667,24.8,27.9
27.52083333,24,29.9,25.57222222,24.5,28.2
29.41666667,26.6,33.5,25.78944444,25,28.2
30.47083333,26.9,35,26.10777778,24.8,28.6
30.03333333,27.1,34,26.25958333,24.6,28.6
29.83333333,26.9,34.2,25.82194444,24.7,28.7
28.54166667,26.5,30.4,25.53666667,24.5,28.9
29.2125,26.2,33.1,25.89166667,24.9,28.4
26.88333333,21.3,31.1,26.23138889,24.9,28.5
20.70833333,18.5,23.1,26.14611111,25.5,28.1
19.37916667,18.5,20.2,25.65,25,26.9
19.74583333,18.8,20.8,25.60041667,24.9,26.9
20.61666667,19.2,22.7,25.35347222,24.3,27.5
21.01666667,18.7,24.2,24.55972222,24.3,24.9
19.90833333,18.6,20.9,24.17986111,23.2,26.4
20.4,17.6,23.5,22.89347222,20.9,25
20.30416667,17.3,24,24.37763889,23,26.3
20.52916667,18.4,22.2,24.70611111,23.4,26.8
24.8,20.7,29.4,25.56972222,23.7,26.8
25.02083333,22.8,27.9,25.75458333,24.1,27.5
24.38333333,22.9,26.5,24.49638889,24,25.9
25.22916667,21.6,30.3,26.13513889,25.5,27.4
22.8,19.8,25.3,26.24986111,25.3,27.3
22.89166667,19.6,28.3,26.24527778,24.5,27.2
22.29166667,19.8,26.4,26.13388889,25,27
22.2625,18.2,25.1,26.12930556,24.5,26.7
23.73333333,22.4,25.7,25.46680556,24.9,26.6
23.89166667,19,28.7,24.94791667,24.1,27.6
22.41666667,18.3,27.6,26.15625,25,27.8
22.73333333,18.7,27.1,25.43569444,25,26.3
24.92083333,20.9,28.9,25.69319444,25,26.8
26.56666667,23,31,25.91763889,24.8,28.2
25.375,21.2,29.8,24.7275,23.6,26.8
22.07083333,20.4,23.8,25.65944444,24.7,26.9
19.89166667,18.4,20.9,25.27777778,24.8,25.6
